INSTRUMENT,,,,,,,,,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,/LEG,/INSTRUMENT
CONTR_SIZE,CURR.INSID,GENERIC,INSID,INSTYPE,MTM_FROM_FEED,OTC,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SPOT_BANKING_DAYS_OFFSET,CALC_PERIOD_CALNBR.CALID,CURR.INSID,DAYCOUNT_METHOD,DECIMALS,END_PERIOD,FLOAT_RATE.EXTERN_ID1,FLOAT_RATE.INSID,FLOAT_RATE_FACTOR,INTEREST_PAYMENT_TIME,NOMINAL_FACTOR,OPTIONALITY_METHOD,PAYLEG,PAY_CALNBR.CALID,PAY_DAY_METHOD,RESET_CALNBR.CALID,RESET_DAY_METHOD,RESET_DAY_OFFSET,RESET_PERIOD,RESET_TYPE,ROLLING_CONVENTION,ROLLING_PERIOD,ROUNDING,START_PERIOD,STRIKE,STRIKE_TYPE,TYPE,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/-0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/-1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/0.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/1.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/2.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,2,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/2.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/12Y/ATM,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,12y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/-0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/-0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/-0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/-1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/0.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/1.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/2.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,2,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/2.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/15Y/ATM,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,15y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/-0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/-0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/-0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/-1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/0.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/1.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/2.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,2,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/2.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/1Y/ATM,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,1y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/-0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/-0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/-0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/-1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/0.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/1.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/2.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,2,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/2.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/20Y/ATM,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,20y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/2Y/-0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,2y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/2Y/-0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,2y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/2Y/-0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,2y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-0.75,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/2Y/-1.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,2y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,-1,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/2Y/0.00,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,2y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/2Y/0.25,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,2y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/2Y/0.50,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,2y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,GBP,Yes,GBP/CAP/SONIA/NORM-VOL/2Y/0.75,Cap,Yes,Yes,Business Days,Volatility bps,0,London,GBP,Act/365,5,2y,SONIO/N,GBP/SONIA,1,In Arrears,1,Post-Aggregate,No,London,Mod. Following,London,Following,0,1d,Compound Spread Excluded,None,3m,Normal,0y,0.75,Absolute,Cap,,
