INSTRUMENT,,,,,,,,,,LEG,,,,,,,,,,,,,,,,,,,,,,,,/LEG,/INSTRUMENT
CONTR_SIZE,CURR.INSID,GENERIC,INSID,INSTYPE,MTM_FROM_FEED,OTC,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SPOT_BANKING_DAYS_OFFSET,CURR.INSID,DAYCOUNT_METHOD,DECIMALS,END_PERIOD,EXCLUDE_FIRST_PERIOD,FLOAT_RATE.EXTERN_ID1,FLOAT_RATE.INSID,FLOAT_RATE_FACTOR,INTEREST_PAYMENT_TIME,NOMINAL_FACTOR,PAYLEG,PAY_CALNBR.CALID,PAY_DAY_METHOD,RESET_CALNBR.CALID,RESET_DAY_METHOD,RESET_DAY_OFFSET,RESET_TYPE,ROLLING_CONVENTION,ROLLING_PERIOD,ROUNDING,START_PERIOD,STRIKE,STRIKE_TYPE,TYPE,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/0.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/0.75,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/1.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/1.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/2.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/2.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/3.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,3,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/4.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,4,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/5.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/6.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,6,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/7.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,7,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/3Y/ATM,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,3y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/0.25,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/0.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/0.75,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/1.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/1.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/2.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/2.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/3.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,3,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/4.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,4,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/5.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/6.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,6,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/7.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,7,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/4Y/ATM,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,4y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/0.25,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/0.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/0.75,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/1.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/1.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/2.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/2.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/3.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,3,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/4.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,4,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/5.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/6.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,6,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/7.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,7,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/5Y/ATM,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,5y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/0.25,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/0.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/0.75,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/1.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/1.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/2.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/2.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/3.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,3,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/4.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,4,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/5.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/6.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,6,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/7.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,7,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/6Y/ATM,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,6y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/0.25,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/0.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/0.75,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/1.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/1.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/2.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/2.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/3.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,3,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/4.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,4,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/5.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/6.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,6,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/7.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,7,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/7Y/ATM,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,7y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/0.25,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/0.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/0.75,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/1.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/1.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/2.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/2.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,2.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/3.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,3,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/4.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,4,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/5.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/6.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,6,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/7.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,7,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/8Y/ATM,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,8y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,,Rel ATM Par,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/9Y/0.25,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,9y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.25,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/9Y/0.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,9y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.5,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/9Y/0.75,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,9y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,0.75,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/9Y/1.00,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,9y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1,Absolute,Cap,,
1000000,USD,Yes,USD/CAP/LI3M/BVOL/9Y/1.50,Cap,Yes,Yes,Business Days,Volatility,2,USD,Act/360,5,9y,Yes,US0003M,USD/LIBOR/3M,1,In Arrears,1,No,New York,Mod. Following,London,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0y,1.5,Absolute,Cap,,
